threshold,val_human_fpr,test_human_fpr,test_macro_recall,test_macro_precision,test_f1,test_tp,test_fp,test_tn,test_fn
0.966192000423961,0.0,0.0,0.0,0.0,0.0,0,0,115,272
0.9661919994683038,0.0,0.0,0.0,0.0,0.0,0,0,115,272
0.6439007852786283,0.034782608695652174,0.008695652173913044,0.1213235294117647,0.9705882352941176,0.21568627450980393,33,1,114,239
0.6470100402374191,0.034782608695652174,0.008695652173913044,0.11764705882352941,0.9696969696969697,0.2098360655737705,32,1,114,240
0.6487858893032162,0.034782608695652174,0.008695652173913044,0.11397058823529412,0.96875,0.20394736842105263,31,1,114,241
0.6491229580274266,0.034782608695652174,0.008695652173913044,0.11029411764705882,0.967741935483871,0.19801980198019803,30,1,114,242
0.6501463379996536,0.02608695652173913,0.008695652173913044,0.10661764705882353,0.9666666666666667,0.19205298013245034,29,1,114,243
0.6508574454518409,0.02608695652173913,0.008695652173913044,0.10294117647058823,0.9655172413793104,0.18604651162790697,28,1,114,244
0.6508622012700745,0.02608695652173913,0.008695652173913044,0.09926470588235294,0.9642857142857143,0.18,27,1,114,245
0.6537812443169215,0.02608695652173913,0.008695652173913044,0.09558823529411764,0.9629629629629629,0.17391304347826086,26,1,114,246
0.6548291798869585,0.02608695652173913,0.008695652173913044,0.09191176470588236,0.9615384615384616,0.16778523489932887,25,1,114,247
0.6549124829435826,0.02608695652173913,0.008695652173913044,0.08823529411764706,0.96,0.16161616161616163,24,1,114,248
0.6564967313962473,0.02608695652173913,0.008695652173913044,0.08455882352941177,0.9583333333333334,0.1554054054054054,23,1,114,249
0.65658755596901,0.02608695652173913,0.008695652173913044,0.08088235294117647,0.9565217391304348,0.14915254237288136,22,1,114,250
0.6586817763542705,0.02608695652173913,0.008695652173913044,0.07720588235294118,0.9545454545454546,0.14285714285714285,21,1,114,251
0.659366407147386,0.02608695652173913,0.008695652173913044,0.07352941176470588,0.9523809523809523,0.13651877133105803,20,1,114,252
0.6611404085825426,0.02608695652173913,0.008695652173913044,0.06985294117647059,0.95,0.13013698630136986,19,1,114,253
0.6622096649690086,0.02608695652173913,0.008695652173913044,0.0661764705882353,0.9473684210526315,0.12371134020618557,18,1,114,254
0.6631969375418529,0.02608695652173913,0.008695652173913044,0.0625,0.9444444444444444,0.11724137931034483,17,1,114,255
0.6641415246655658,0.02608695652173913,0.008695652173913044,0.058823529411764705,0.9411764705882353,0.11072664359861592,16,1,114,256
