browser_log,flow_id,decision,risk_score,rule_score,model_score,context_score,rules_triggered
logs\macro_v2\20260213_perf001_flow_20260213_5yosii_success.json,flow_20260213_5yosii,allow,0.29499702,0.00000000,0.73749254,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_66k3ii_success.json,flow_20260213_66k3ii,allow,0.21201774,0.00000000,0.53004436,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6i2l2k_success.json,flow_20260213_6i2l2k,allow,0.28228510,0.00000000,0.70571274,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6ih4l9_success.json,flow_20260213_6ih4l9,allow,0.29523573,0.00000000,0.73808934,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6jw1fs_success.json,flow_20260213_6jw1fs,allow,0.27445645,0.00000000,0.68614112,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6kxdp8_success.json,flow_20260213_6kxdp8,challenge,0.30053694,0.00000000,0.75134234,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6lwclq_success.json,flow_20260213_6lwclq,allow,0.28947840,0.00000000,0.72369599,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6n4bgr_success.json,flow_20260213_6n4bgr,allow,0.27822257,0.00000000,0.69555642,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6odl44_success.json,flow_20260213_6odl44,allow,0.22813094,0.00000000,0.57032735,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_6t1uux_success.json,flow_20260213_6t1uux,allow,0.21488609,0.00000000,0.53721522,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_73rubo_success.json,flow_20260213_73rubo,allow,0.29424479,0.00000000,0.73561196,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7499t1_success.json,flow_20260213_7499t1,allow,0.26924928,0.00000000,0.67312320,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7gvhp9_success.json,flow_20260213_7gvhp9,challenge,0.30640370,0.00000000,0.76600924,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7ka203_success.json,flow_20260213_7ka203,allow,0.27461609,0.00000000,0.68654023,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7qmyni_success.json,flow_20260213_7qmyni,allow,0.28572285,0.00000000,0.71430713,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7vv4kp_success.json,flow_20260213_7vv4kp,allow,0.26088816,0.00000000,0.65222040,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_7w94uk_success.json,flow_20260213_7w94uk,allow,0.26419221,0.00000000,0.66048053,0.00000000,
logs\macro_v2\20260213_perf001_flow_20260213_86mulz_success.json,flow_20260213_86mulz,allow,0.24620334,0.00000000,0.61550836,0.00000000,
